order_item_id,order_id,product_id,quantity,unit_price
1,1,503,6,214.59
2,2,1990,1,164.12
3,2,1143,3,481.65
4,2,264,5,498.96
5,2,788,10,21.43
6,2,1377,6,240.33
7,3,224,7,185.36
8,3,407,10,47.97
9,3,25,9,469.8
10,4,377,9,47.0
11,4,222,10,302.24
12,5,151,8,214.33
13,5,102,8,275.68
14,5,1443,4,278.02
15,5,401,5,464.67
16,5,530,5,277.01
17,6,1792,5,81.98
18,6,419,8,280.59
19,6,1401,5,253.17
20,6,546,3,126.53
21,7,1945,4,181.59
22,7,1041,6,388.7
23,7,1680,2,362.98
24,8,1108,3,250.54
25,8,1482,9,12.99
26,9,1743,8,203.24
27,9,1886,5,336.17
28,9,996,5,166.74
29,10,1384,4,79.67
30,10,1246,9,393.12
31,11,962,8,355.13
32,11,1804,9,315.55
33,12,1230,7,227.92
34,12,1445,2,232.58
35,12,829,6,426.03
36,12,133,8,169.8
37,13,1097,3,451.99
38,13,1685,4,125.18
39,13,1100,7,454.34
40,13,1464,9,54.86
41,13,445,6,111.17
42,14,1449,5,462.72
43,14,340,7,308.95
44,14,757,7,78.01
45,14,665,6,425.25
46,15,113,10,281.75
47,16,604,9,248.01
48,16,1169,9,73.1
49,17,1674,9,145.97
50,18,1340,7,451.82
51,18,1860,7,341.88
52,19,1684,6,29.49
53,19,899,5,50.63
54,19,1841,7,21.84
55,19,575,5,174.93
56,19,1382,10,238.0
57,20,1212,7,39.05
58,20,127,8,351.32
59,20,1324,3,278.47
60,20,233,4,185.44
61,21,1541,9,262.41
62,21,139,4,148.91
63,21,1567,6,242.57
64,21,1434,1,160.4
65,21,1410,4,473.23
66,22,1969,10,386.47
67,22,642,10,403.79
68,22,500,4,420.9
69,22,120,10,379.46
70,22,389,4,14.01
71,23,1648,6,475.02
72,24,1201,4,199.99
73,24,1340,2,451.82
74,24,1019,5,399.75
75,24,1412,1,429.19
76,24,305,6,470.84
77,25,494,8,431.99
78,26,68,4,218.2
79,26,324,2,274.72
80,26,1066,7,154.3
81,26,1463,8,138.6
82,27,1067,6,440.07
83,27,1053,6,405.91
84,27,241,4,58.43
85,27,363,9,241.03
86,28,271,2,483.64
87,28,1675,4,177.01
88,28,740,1,162.64
89,28,399,2,44.76
90,28,904,8,55.95
91,29,426,9,427.55
92,29,1710,1,270.25
93,29,1445,8,232.58
94,29,1830,7,391.96
95,29,1127,1,420.92
96,30,923,10,168.14
97,30,1661,6,82.67
98,30,1029,5,26.99
99,31,1774,2,393.43
100,31,1333,8,34.02
101,32,1459,2,26.56
102,32,1138,9,160.66
103,33,527,8,479.03
104,33,1479,8,233.38
105,33,433,3,107.35
106,33,1560,6,433.89
107,33,1290,6,233.13
108,34,1255,4,28.37
109,34,1205,7,67.32
110,35,33,8,485.61
111,36,1536,10,309.28
112,36,1176,7,146.15
113,37,1366,10,402.47
114,37,900,1,408.92
115,38,5,7,460.0
116,38,311,3,384.08
117,38,1843,3,311.24
118,39,1238,2,168.22
119,39,600,2,348.02
120,39,1029,9,26.99
121,40,1359,8,62.87
122,41,21,6,461.32
123,41,1204,8,493.5
124,41,867,8,360.69
125,41,1651,9,157.02
126,41,382,3,296.13
127,42,1173,4,362.47
128,42,639,2,14.31
129,42,1915,3,28.71
130,43,1988,9,373.3
131,43,1764,8,436.71
132,44,870,1,256.26
133,44,258,4,27.63
134,44,1951,10,307.14
135,45,1118,10,21.77
136,45,1471,6,393.53
137,46,835,7,353.5
138,46,1970,7,133.22
139,46,653,6,200.64
140,46,1197,4,243.57
141,47,665,10,425.25
142,47,1215,4,448.83
143,47,831,9,110.55
144,48,847,2,177.14
145,48,1209,5,293.51
146,48,737,5,34.52
147,48,1809,2,173.94
148,49,14,1,74.15
149,49,1646,6,376.27
150,50,688,9,92.85
151,50,1874,8,138.41
152,50,1095,5,110.33
153,51,1077,3,370.71
154,51,569,4,248.08
155,51,1082,3,80.35
156,51,1010,4,77.91
157,52,1371,5,93.97
158,53,1579,8,302.67
159,54,243,10,441.57
160,54,1193,7,226.83
161,55,1982,3,170.34
162,55,1252,6,55.72
163,55,48,1,444.25
164,55,212,8,192.76
165,56,1094,6,496.36
166,56,653,5,200.64
167,57,1467,9,300.01
168,58,852,1,208.8
169,58,1589,6,498.5
170,58,449,3,152.76
171,58,858,2,475.35
172,58,1957,7,437.98
173,59,295,3,98.21
174,59,471,10,364.11
175,59,1119,7,150.04
176,59,1390,2,70.2
177,60,129,6,296.81
178,60,82,6,21.99
179,60,209,2,342.13
180,60,1043,7,52.97
181,60,1211,9,41.94
182,61,1963,3,190.55
183,61,1023,8,376.63
184,61,1214,8,195.54
185,61,650,2,411.41
186,61,1099,2,280.11
187,62,804,6,188.34
188,62,530,9,277.01
189,62,1786,1,305.74
190,62,1046,1,50.92
191,62,1817,4,283.12
192,63,866,10,269.58
193,63,1898,6,257.46
194,64,20,10,68.65
195,65,7,2,218.38
196,65,748,10,50.75
197,65,1507,4,188.72
198,65,1494,10,449.59
199,65,1372,10,181.13
200,66,1230,2,227.92
201,67,1664,4,87.27
202,67,351,1,381.42
203,68,1188,5,39.52
204,69,1719,3,215.9
205,70,1827,4,144.44
206,70,852,10,208.8
207,70,1065,8,264.93
208,71,1735,6,284.63
209,71,1661,4,82.67
210,71,1013,6,378.66
211,72,474,8,356.61
212,72,358,10,453.22
213,72,646,10,475.32
214,72,1039,9,43.98
215,72,1747,8,138.81
216,73,65,5,306.42
217,73,1437,1,319.62
218,73,1151,7,431.46
219,73,622,10,45.53
220,73,1161,10,199.68
221,74,1869,10,118.55
222,74,94,5,252.74
223,74,122,8,468.44
224,75,1686,8,306.41
225,75,1212,7,39.05
226,75,210,5,161.63
227,76,1680,8,362.98
228,76,728,5,250.01
229,76,454,7,227.35
230,76,218,2,402.5
231,76,1598,6,278.95
232,77,1191,4,277.65
233,77,1882,6,444.46
234,78,1048,9,492.2
235,78,862,2,117.63
236,79,778,7,193.24
237,79,1467,6,300.01
238,79,1548,6,466.72
239,80,1921,1,306.26
240,81,1221,10,6.69
241,81,1342,5,346.08
242,81,372,7,442.44
243,81,1415,7,183.35
244,81,1508,10,308.87
245,82,1204,2,493.5
246,82,1025,10,83.08
247,82,950,6,194.11
248,82,1408,5,10.55
249,83,1059,9,336.34
250,83,533,10,305.61
251,84,1759,2,235.27
252,84,517,9,81.09
253,84,1697,1,473.45
254,84,1158,6,278.85
255,84,973,3,111.49
256,85,1045,3,339.79
257,85,457,2,166.65
258,85,1533,3,490.98
259,86,1197,1,243.57
260,86,619,10,389.1
261,86,463,1,47.86
262,87,1169,5,73.1
263,88,917,3,147.97
264,88,1521,10,206.71
265,89,1103,7,36.79
266,89,1264,6,213.95
267,89,768,1,128.11
268,89,1351,6,150.89
269,89,415,10,235.8
270,90,1811,8,357.78
271,91,1227,6,95.89
272,91,1564,8,385.3
273,91,1976,3,397.76
274,91,455,4,69.6
275,92,865,10,202.33
276,92,18,1,328.23
277,92,290,3,384.23
278,93,600,10,348.02
279,93,1646,10,376.27
280,93,275,7,461.89
281,94,51,6,350.56
282,94,1401,6,253.17
283,94,279,6,484.38
284,94,191,2,340.53
285,94,1922,5,450.32
286,95,1923,6,49.23
287,95,1860,6,341.88
288,95,602,6,41.48
289,96,927,2,181.58
290,96,929,2,50.59
291,96,1539,3,34.16
292,96,1314,7,102.36
293,96,827,5,462.42
294,97,1645,5,75.69
295,97,894,7,444.61
296,97,370,8,140.87
297,97,503,3,214.59
298,97,1159,8,109.95
299,98,1047,6,80.99
300,98,1545,2,78.92
301,98,1488,4,294.18
302,98,1053,7,405.91
303,98,91,1,228.6
304,99,160,6,416.29
305,99,689,6,14.44
306,100,828,7,390.23
307,101,1210,3,180.58
308,101,1198,10,269.57
309,101,1091,8,436.3
310,101,1852,4,114.1
311,101,1568,1,125.0
312,102,392,5,64.32
313,102,645,5,496.37
314,102,751,6,203.04
315,103,1759,4,235.27
