order_id,customer_id,order_date,status,total_amount
1,4699,2023-11-18,Delivered,1287.54
2,560,2024-07-09,Cancelled,5760.15
3,4503,2023-11-28,Processing,6005.42
4,833,2024-07-19,Delivered,3445.4
5,590,2024-05-18,Cancelled,8740.56
6,1603,2024-02-07,Cancelled,4300.06
7,3951,2024-03-16,Delivered,3784.52
8,1459,2024-01-17,Cancelled,868.53
9,4122,2024-07-04,Shipped,4140.47
10,3439,2023-12-27,Shipped,3856.76
11,307,2023-12-19,Processing,5680.99
12,3456,2023-10-24,Cancelled,5975.18
13,375,2024-02-04,Shipped,6197.83
14,231,2023-11-08,Delivered,7573.82
15,1746,2024-01-03,Delivered,2817.5
16,2700,2024-05-21,Cancelled,2889.99
17,1376,2024-07-24,Delivered,1313.73
18,1304,2024-05-31,Shipped,5555.9
19,993,2024-08-17,Delivered,3837.62
20,3311,2024-07-11,Delivered,4661.08
21,4731,2024-04-19,Shipped,6466.07
22,4790,2024-05-11,Shipped,13436.84
23,279,2024-04-25,Delivered,2850.12
24,458,2024-03-22,Cancelled,6956.58
25,3670,2024-03-11,Processing,3455.92
26,3872,2023-12-21,Shipped,3611.14
27,1824,2024-09-17,Shipped,7478.87
28,612,2024-06-10,Delivered,2375.08
29,837,2024-03-04,Shipped,9143.48
30,2732,2024-02-02,Processing,2312.37
31,2895,2023-10-20,Shipped,1059.02
32,774,2024-03-02,Processing,1499.06
33,4535,2024-09-11,Shipped,10023.45
34,2540,2024-07-25,Processing,584.72
35,1418,2023-12-25,Shipped,3884.88
36,1708,2024-03-13,Shipped,4115.85
37,2985,2024-10-15,Cancelled,4433.62
38,2392,2023-12-15,Delivered,5305.96
39,2996,2024-09-19,Delivered,1275.39
40,2123,2023-12-09,Cancelled,502.96
41,2051,2024-03-27,Delivered,11903.01
42,4930,2024-04-17,Shipped,1564.63
43,4585,2024-02-28,Delivered,6853.38
44,3823,2024-05-13,Delivered,3438.18
45,1191,2023-11-16,Shipped,2578.88
46,2323,2023-11-14,Cancelled,5585.16
47,4892,2024-10-13,Delivered,7042.77
48,3941,2023-12-24,Cancelled,2342.31
49,458,2024-08-21,Shipped,2331.77
50,2048,2024-05-30,Cancelled,2494.58
51,3567,2023-12-27,Cancelled,2657.14
52,1158,2024-09-27,Shipped,469.85
53,4058,2023-11-17,Delivered,2421.36
54,727,2024-03-31,Processing,6003.51
55,1872,2024-09-25,Shipped,2831.67
56,1051,2024-03-26,Processing,3981.36
57,3313,2024-05-06,Delivered,2700.09
58,628,2023-11-26,Cancelled,7674.64
59,4643,2024-06-25,Delivered,5126.41
60,70,2023-11-05,Shipped,3345.31
61,534,2024-08-20,Shipped,6532.05
62,1489,2023-11-24,Shipped,5112.27
63,3355,2024-08-03,Delivered,4240.56
64,3161,2024-05-14,Delivered,686.5
65,192,2023-11-24,Shipped,8006.34
66,1525,2023-10-22,Processing,455.84
67,4646,2024-07-14,Delivered,730.5
68,4220,2024-02-25,Shipped,197.6
69,3011,2024-04-03,Cancelled,647.7
70,3725,2024-04-03,Delivered,4785.2
71,3729,2024-08-04,Processing,4310.42
72,4908,2023-10-28,Shipped,13644.58
73,856,2024-01-29,Processing,7324.04
74,384,2024-01-21,Delivered,6196.72
75,713,2024-01-27,Shipped,3532.78
76,2025,2023-11-25,Processing,8224.04
77,50,2023-12-18,Delivered,3777.36
78,3853,2023-11-14,Processing,4665.06
79,4660,2023-12-19,Shipped,5953.06
80,3852,2024-10-09,Delivered,306.26
81,3287,2024-08-30,Cancelled,9266.53
82,1096,2024-03-24,Delivered,3035.21
83,2564,2024-07-16,Cancelled,6083.16
84,2347,2023-12-30,Processing,3681.37
85,2776,2024-04-09,Delivered,2825.61
86,1269,2024-05-28,Processing,4182.43
87,1442,2024-07-19,Cancelled,365.5
88,3692,2024-03-16,Delivered,2511.01
89,3461,2024-02-04,Shipped,4932.68
90,4430,2024-07-22,Shipped,2862.24
